City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,qasigiannguit,68.8193,-51.1922,-16.35,99,98,4.7,GL,1675831206
195,geraldton,-28.7667,114.6,90.01,37,0,14.97,AU,1675831080
196,port-cartier,50.0334,-66.8654,22.42,94,100,5.12,CA,1675831206
197,nkan,0.3833,9.7833,71.37,95,81,2.21,GA,1675831207
198,mahebourg,-20.4081,57.7,80.89,78,40,11.5,MU,1675831073
199,vanavara,60.34,102.2797,7.02,93,100,4.07,RU,1675831072
200,tiznit,29.5833,-9.5,43.68,88,0,2.06,MA,1675831208
201,mersing,2.4312,103.8405,82.31,83,40,11.5,MY,1675831209
202,hovd,48.0056,91.6419,6.98,74,99,3.65,MN,1675831211
203,poum,-20.2333,164.0167,80.29,85,100,22.01,NC,1675831042
204,hamilton,39.1834,-84.5333,48.52,89,100,5.75,US,1675830993
205,hithadhoo,-0.6,73.0833,81.32,73,12,7.87,MV,1675831069
206,sungaipenuh,-2.0833,101.3833,79.34,39,78,5.64,ID,1675831212
207,aswan,24.0934,32.907,49.3,49,0,6.91,EG,1675831212
208,karratha,-20.7377,116.8463,95.58,39,42,16.4,AU,1675831064
209,gobabis,-22.45,18.9667,64.99,84,99,1.52,NA,1675831213
210,pinega,64.7001,43.3936,34.18,92,100,9.91,RU,1675831213
211,khani,41.9563,42.9566,27.97,95,100,2.37,GE,1675831214
212,imaculada,-7.3897,-37.5092,63.91,82,95,6.22,BR,1675831216
213,bengkulu,-3.8004,102.2655,85.28,56,79,10.02,ID,1675831018
214,salalah,17.0151,54.0924,69.89,56,0,2.3,OM,1675831217
215,nalut,30.3333,10.85,55.9,40,97,10.09,LY,1675831217
216,paamiut,61.994,-49.6678,4.26,77,90,12.5,GL,1675831218
217,bilibino,68.0546,166.4372,-36.18,100,100,1.7,RU,1675831218
218,vaitape,-16.5167,-151.75,80.87,72,24,11.41,PF,1675831219
219,parthenay,46.6667,-0.4167,31.95,90,3,8.97,FR,1675831219
220,nurobod,40.9056,69.8023,47.97,37,100,7.78,UZ,1675831220
221,vestmanna,62.1564,-7.1664,43.32,87,100,54.74,FO,1675831220
222,auki,-8.7676,160.7034,85.68,65,84,6.13,SB,1675831224
223,sivaki,52.6333,126.75,-3.71,76,17,6.51,RU,1675831224
224,maniitsoq,65.4167,-52.9,0.7,91,100,11.72,GL,1675831023
225,verkhnyaya inta,65.9811,60.3094,15.42,89,100,28.27,RU,1675831103
226,sept-iles,50.2001,-66.3821,22.26,79,100,21.85,CA,1675831225
227,touros,-5.1989,-35.4608,77.05,74,100,12.53,BR,1675831224
228,lampa,-33.2833,-70.9,66.42,60,0,2.3,CL,1675831227
229,kyshtovka,56.555,76.6271,-2.4,96,81,5.39,RU,1675831227
230,wainwright,52.839,-110.8572,23.49,98,99,4.05,CA,1675831228
231,linhares,-19.3911,-40.0722,72.88,95,90,1.7,BR,1675831228
232,kieta,-6.2167,155.6333,85.14,67,38,6.93,PG,1675831203
233,lavrentiya,65.5833,-171.0,-15.32,92,98,3.4,RU,1675831059
234,tiksi,71.6872,128.8694,-36.06,99,93,6.24,RU,1675831082
235,alcantara,-2.4089,-44.4147,79.0,91,100,4.65,BR,1675831229
236,sitka,57.0531,-135.33,35.49,80,75,0.0,US,1675831230
237,marsa matruh,31.3525,27.2453,44.8,93,75,5.75,EG,1675831230
238,tomatlan,19.9333,-105.25,63.93,89,0,3.02,MX,1675831231
239,los llanos de aridane,28.6585,-17.9182,52.12,77,20,8.99,ES,1675831231
240,vanimo,-2.6741,141.3028,77.56,94,100,10.54,PG,1675831232
241,cherskiy,68.75,161.3,-26.84,97,100,5.66,RU,1675831059
242,hobyo,5.3505,48.5268,79.14,64,91,15.99,SO,1675831232
243,mar del plata,-38.0023,-57.5575,72.45,97,100,20.0,AR,1675831233
244,tual,-5.6667,132.75,82.83,73,97,21.81,ID,1675831040
245,mount isa,-20.7333,139.5,91.17,49,40,6.91,AU,1675831234
246,feltre,46.0235,11.907,27.39,75,43,1.68,IT,1675831234
247,mackay,-21.15,149.2,81.68,83,90,24.14,AU,1675831235
248,mount gambier,-37.8333,140.7667,72.46,48,11,12.71,AU,1675831235
249,lazaro cardenas,17.9583,-102.2,72.68,85,0,3.65,MX,1675831065
250,nanakuli,21.3906,-158.1547,76.14,61,20,6.91,US,1675831236
251,santiago de cuba,20.0247,-75.8219,73.51,73,20,4.61,CU,1675831237
252,sidi ali,36.0998,0.4206,48.09,80,86,4.0,DZ,1675831238
253,kimbe,-5.5502,150.1429,76.95,97,100,3.83,PG,1675831238
254,norman wells,65.282,-126.8329,-11.16,77,75,4.61,CA,1675831087
255,awjilah,29.1081,21.2869,47.79,62,80,6.02,LY,1675831239
256,honningsvag,70.9821,25.9704,35.35,60,20,26.46,NO,1675831239
257,general roca,-39.0333,-67.5833,73.62,26,1,12.28,AR,1675831240
258,iseyin,7.9667,3.6,75.29,79,95,2.53,NG,1675831241
259,puerto del rosario,28.5004,-13.8627,53.35,76,0,6.91,ES,1675831241
260,marystown,47.1666,-55.1483,26.01,75,100,22.66,CA,1675831241
261,ust-kulom,61.6864,53.6902,17.06,95,100,8.25,RU,1675831242
262,avera,33.194,-82.5271,45.91,67,57,5.7,US,1675831075
263,muros,42.7762,-9.0603,39.9,82,24,15.39,ES,1675831243
264,palotina,-24.2839,-53.84,69.33,76,88,3.0,BR,1675831244
265,melnikovo,56.5558,84.085,8.83,92,97,5.66,RU,1675831244
266,hirara,24.8,125.2833,71.87,78,75,12.66,JP,1675831245
267,kihei,20.785,-156.4656,74.79,83,40,18.41,US,1675831174
268,ambikapur,23.1167,83.2,74.39,27,1,7.31,IN,1675831245
269,luebo,-5.35,21.4167,69.39,96,100,0.76,CD,1675831246
270,port hardy,50.6996,-127.4199,37.58,100,75,3.44,CA,1675831246
271,shangrao,28.4532,117.9686,49.98,93,100,8.77,CN,1675831246
272,aklavik,68.2191,-135.0107,-19.82,96,100,7.43,CA,1675831057
273,cabo san lucas,22.8909,-109.9124,68.27,41,87,5.32,MX,1675831162
274,ciudad bolivar,8.1222,-63.5497,75.74,77,33,11.36,VE,1675831247
275,cartagena,10.3997,-75.5144,78.42,78,0,6.91,CO,1675831248
276,gornopravdinsk,60.05,69.9,-7.69,100,100,4.25,RU,1675831248
277,constitucion,-35.3333,-72.4167,60.76,63,0,8.23,CL,1675831168
278,nome,64.5011,-165.4064,-12.93,84,0,0.0,US,1675831249
279,borogontsy,62.6683,131.1683,-32.3,93,100,0.4,RU,1675831249
280,beyneu,45.3167,55.2,26.29,60,100,22.79,KZ,1675831249
281,riyadh,24.6877,46.7219,53.74,38,16,5.79,SA,1675831250
282,nouadhibou,20.931,-17.0347,58.98,67,0,19.57,MR,1675831056
283,sedkyrkeshch,61.75,50.9167,19.67,93,75,8.95,RU,1675831250
284,mehamn,71.0357,27.8492,31.95,69,0,27.63,NO,1675831251
285,starogard gdanski,53.964,18.5264,28.72,93,89,6.6,PL,1675831251
286,flin flon,54.7682,-101.865,18.73,92,27,7.34,CA,1675831251
287,soe,-9.8607,124.284,77.2,78,18,5.08,ID,1675830967
288,savyntsi,49.4026,37.0627,14.92,87,6,12.06,UA,1675831252
289,tabou,4.423,-7.3528,78.46,86,100,6.08,CI,1675831252
290,bluefields,12.0137,-83.7635,74.73,92,44,10.11,NI,1675831253
291,vrangel,42.7297,133.0839,27.41,42,3,15.23,RU,1675831253
292,axim,4.8699,-2.2405,77.04,87,99,4.03,GH,1675831138
293,lerwick,60.1545,-1.1494,44.6,74,100,33.08,GB,1675831254
294,zaozerne,45.1582,33.2787,29.46,67,100,24.11,UA,1675831254
295,pisco,-13.7,-76.2167,73.45,83,0,9.22,PE,1675830979
296,muravlenko,63.7898,74.523,-9.22,98,92,10.69,RU,1675831255
297,bose,45.4612,8.0137,27.52,72,7,4.65,IT,1675831255
298,fairbanks,64.8378,-147.7164,2.08,81,100,3.44,US,1675831037
299,yaan,7.3833,8.5667,74.17,41,38,4.34,NG,1675831255
300,izhma,65.0083,53.9113,27.21,93,100,9.48,RU,1675831256
301,puerto baquerizo moreno,-0.9,-89.6,77.25,83,29,5.17,EC,1675831256
302,fukue,32.6881,128.8419,57.56,54,40,13.8,JP,1675831257
303,hailey,43.5196,-114.3153,22.62,79,75,8.05,US,1675831257
304,belen,36.4891,36.2233,30.85,56,90,5.82,TR,1675831257
305,wageningen,51.9667,5.6667,27.79,88,78,5.75,NL,1675831258
306,isangel,-19.55,169.2667,80.92,78,96,4.18,VU,1675831096
307,biloela,-24.4167,150.5,90.18,31,66,14.9,AU,1675830972
308,kahului,20.8947,-156.47,74.28,82,40,18.41,US,1675830844
309,husavik,66.0449,-17.3389,23.23,75,90,17.2,IS,1675831258
310,keffi,8.8486,7.8736,72.55,21,43,3.96,NG,1675831259
311,ures,29.4333,-110.4,55.18,18,0,7.7,MX,1675831259
312,kodino,63.7198,39.6447,31.71,96,100,7.25,RU,1675831259
313,maryborough,-25.5333,152.7,84.16,45,57,13.35,AU,1675830994
314,alekseyevsk,57.8406,108.3492,8.44,91,100,5.01,RU,1675831260
315,atherton,53.5237,-2.4935,37.02,90,58,3.0,GB,1675831260
316,nemuro,43.3236,145.575,26.24,58,23,2.95,JP,1675831261
317,pitimbu,-7.4706,-34.8086,75.79,77,99,8.28,BR,1675831261
318,zhuhai,22.2769,113.5678,66.7,77,40,8.05,CN,1675831261
319,chuy,-33.6971,-53.4616,68.16,86,12,6.11,UY,1675831056
320,taybad,34.74,60.7756,53.89,54,6,14.7,IR,1675831262
321,emba,48.8264,58.1442,5.86,90,40,14.54,KZ,1675831263
322,port blair,11.6667,92.75,84.24,61,40,9.22,IN,1675831102
323,wundanyi,-3.4019,38.364,65.91,70,50,3.13,KE,1675831264
324,saint george,37.1041,-113.5841,42.55,52,0,5.75,US,1675831265
325,bonnyville,54.2668,-110.735,28.2,99,64,4.9,CA,1675831265
326,george town,5.4112,100.3354,85.95,66,20,6.91,MY,1675831259
327,santa rosa,14.3122,121.1114,87.15,66,100,14.76,PH,1675831084
328,camacupa,-12.0167,17.4833,61.09,80,100,0.98,AO,1675831267
329,zhigansk,66.7697,123.3711,-43.82,96,100,6.8,RU,1675831103
330,filingue,14.3521,3.3168,71.67,14,93,10.07,NE,1675831267
331,ganzhou,28.8184,115.4327,52.41,92,96,5.19,CN,1675831268
332,road town,18.4167,-64.6167,75.29,72,13,19.57,VG,1675831254
333,itarema,-2.9248,-39.9167,76.82,82,100,9.06,BR,1675831042
334,north bend,43.4065,-124.2243,44.47,53,100,0.0,US,1675831269
335,flagstaff,35.1981,-111.6513,24.06,59,0,3.44,US,1675831014
336,tairua,-37.0167,175.85,72.66,65,56,10.96,NZ,1675831270
337,tyukhtet,56.5389,89.3011,11.68,90,100,8.55,RU,1675831271
338,nantucket,41.2835,-70.0995,35.89,82,100,12.66,US,1675831090
339,flinders,-34.5833,150.8552,70.57,90,100,3.0,AU,1675831272
340,namibe,-15.1961,12.1522,69.01,78,96,5.82,AO,1675831272
341,ngunguru,-35.6167,174.5,71.78,59,58,2.06,NZ,1675831273
342,cardston,49.2,-113.3019,35.65,60,58,5.75,CA,1675831034
343,capoterra,39.1763,8.9718,47.61,58,40,6.91,IT,1675831274
344,henties bay,-22.116,14.2845,63.9,91,56,4.12,NA,1675831275
345,castro alves,-12.7656,-39.4283,68.4,94,5,3.27,BR,1675831275
346,sibolga,1.7427,98.7792,84.79,55,100,3.0,ID,1675831276
347,bambous virieux,-20.3428,57.7575,80.85,78,40,11.5,MU,1675831043
348,mukhen,48.1,136.1,2.44,64,8,9.01,RU,1675831276
349,buarcos,40.166,-8.8768,43.14,78,69,12.35,PT,1675831277
350,luderitz,-26.6481,15.1594,64.81,82,22,15.61,NA,1675831034
351,vikulovo,56.8167,70.6107,-8.41,100,91,3.0,RU,1675831277
352,clyde river,70.4692,-68.5914,-32.57,68,0,4.61,CA,1675831097
353,tessalit,20.1986,1.0114,65.75,15,63,9.1,ML,1675831084
354,sabla,12.7525,4.7077,70.32,18,99,12.19,NG,1675831278
355,hasaki,35.7333,140.8333,52.2,67,100,18.77,JP,1675831199
356,sao joao da barra,-21.6403,-41.0511,73.87,94,100,3.69,BR,1675831278
357,olafsvik,64.8945,-23.7142,27.86,52,100,28.36,IS,1675831207
358,san cosme y damian,-27.3167,-56.35,80.78,43,39,5.26,PY,1675831279
359,ellisras,-23.6649,27.7443,71.96,62,62,5.86,ZA,1675831280
360,tarrafal,15.2833,-23.7667,66.99,69,10,18.86,CV,1675831281
361,victor harbor,-35.5667,138.6167,69.01,76,16,1.01,AU,1675831281
362,roald,62.5833,6.1333,46.54,49,88,19.57,NO,1675831282
363,brownwood,31.7093,-98.9912,42.55,92,100,12.66,US,1675831283
364,fomboni,-12.28,43.7425,82.26,74,100,14.16,KM,1675831283
365,raub,3.7899,101.857,89.71,61,86,2.86,MY,1675831284
366,rzeszow,50.0413,21.999,28.42,93,75,12.66,PL,1675831030
